Category,KPI,Definition (exec-friendly one-liner),Target,This Orbit,Variance (This - Target),Trend vs Last Orbit (Up/Flat/Down),Status (Green/Amber/Red),Commentary (≤120 chars),Data Source/System,Owner
Executive Snapshot,Biggest Win,Single sentence describing the most impactful outcome this orbit,,,,,,,,
Executive Snapshot,Top Risk,Highest severity risk with clear business impact,,,,,,,,
Executive Snapshot,Next Orbit Focus,One-liner: the #1 thing we will ship next orbit,,,,,,,,
Executive Snapshot,Decision Needed,Y/N and 1 sentence on what execs need to decide,,,,,,,,
Platform Health,Availability (%),Observed uptime for Tier-1 services,99.9%,,,,,,Observability / APM,
Platform Health,Error Rate (per 1k req),"p95 error rate per 1,000 requests",<= 2,,,,,,APM / Logs,
Platform Health,Latency p95 (ms),95th percentile end-to-end latency,<= 300,,,,,,APM / Traces,
Incident Readiness,MTTR (min),Mean time to recover across Sev-1/2 incidents,<= 8,,,,,,Incident Mgmt,
Incident Readiness,MTTD (min),Mean time to detect from incident start to alert,<= 3,,,,,,Monitoring,
Incident Readiness,Incident Volume (Sev1/2),Count of Sev-1/2 incidents this orbit,<= 2,,,,,,Incident Mgmt,
Automation & Self-Healing,Auto-Remediation Coverage (%),Share of top 10 failure modes with automation,>= 60%,,,,,,Runbooks / CMDB,
Automation & Self-Healing,Successful Auto-Remediations (#),Number of incidents resolved by automation,>= 10,,,,,,APM / Incident Mgmt,
Automation & Self-Healing,Chaos Pass Rate (%),Share of chaos tests passed within SLO,>= 90%,,,,,,Chaos Platform,
Customer Impact,Transactions Affected (%),Percent of transactions impacted by incidents,<= 0.05%,,,,,,Payments / Analytics,
Customer Impact,Refunds/Comp (% Rev),Refunds or comp as a percent of revenue,<= 0.10%,,,,,,Finance / Billing,
Compliance & Risk,Critical Vulns Open (#),Count of unresolved critical security issues,0,,,,,,Security Scanner,
Compliance & Risk,Mean Days to Remediate Criticals,Average days to close critical vulns,<= 7,,,,,,Security Tracker,
Compliance & Risk,Compliance Exceptions (#),Open PCI/PII exceptions with risk acceptance,<= 0,,,,,,GRC,
Investment & ROI,Automation Hours Saved (hrs),Estimated manual hours avoided via automation,>= 8,,,,,,Jira / Estimates,
Investment & ROI,$ Avoided Incidents (est.),Financial impact avoided via resilience measures,">= $25,000",,,,,,Finance / SRE,
Investment & ROI,Effort This Orbit (FTE-weeks),Delivery effort invested this orbit,<= 6,,,,,,PMO / Jira,
